,A1901.XDCE,A1903.XDCE,A1905.XDCE,A1907.XDCE,A1909.XDCE,A1911.XDCE,A2001.XDCE,C1901.XDCE,C1903.XDCE,C1905.XDCE,C1907.XDCE,C1909.XDCE,C1911.XDCE,RB1812.XSGE,RB1901.XSGE,RB1902.XSGE,RB1903.XSGE,RB1904.XSGE,RB1905.XSGE,RB1906.XSGE,RB1907.XSGE,RB1908.XSGE,RB1909.XSGE,RB1910.XSGE,RB1911.XSGE,M1812.XDCE,M1901.XDCE,M1903.XDCE,M1905.XDCE,M1907.XDCE,M1908.XDCE,M1909.XDCE,M1911.XDCE,P1812.XDCE,P1901.XDCE,P1902.XDCE,P1903.XDCE,P1904.XDCE,P1905.XDCE,P1906.XDCE,P1907.XDCE,P1908.XDCE,P1909.XDCE,P1910.XDCE,P1911.XDCE,J1812.XDCE,J1901.XDCE,J1902.XDCE,J1903.XDCE,J1904.XDCE,J1905.XDCE,J1906.XDCE,J1907.XDCE,J1908.XDCE,J1909.XDCE,J1910.XDCE,J1911.XDCE,ZN1812.XSGE,ZN1901.XSGE,ZN1902.XSGE,ZN1903.XSGE,ZN1904.XSGE,ZN1905.XSGE,ZN1906.XSGE,ZN1907.XSGE,ZN1908.XSGE,ZN1909.XSGE,ZN1910.XSGE,ZN1911.XSGE,Y1812.XDCE,Y1901.XDCE,Y1903.XDCE,Y1905.XDCE,Y1907.XDCE,Y1908.XDCE,Y1909.XDCE,Y1911.XDCE,L1812.XDCE,L1901.XDCE,L1902.XDCE,L1903.XDCE,L1904.XDCE,L1905.XDCE,L1906.XDCE,L1907.XDCE,L1908.XDCE,L1909.XDCE,L1910.XDCE,L1911.XDCE,AG1812.XSGE,AG1901.XSGE,AG1902.XSGE,AG1903.XSGE,AG1904.XSGE,AG1905.XSGE,AG1906.XSGE,AG1907.XSGE,AG1908.XSGE,AG1909.XSGE,AG1910.XSGE,AG1911.XSGE,TA1812.XZCE,TA1901.XZCE,TA1902.XZCE,TA1903.XZCE,TA1904.XZCE,TA1905.XZCE,TA1906.XZCE,TA1907.XZCE,TA1908.XZCE,TA1909.XZCE,TA1910.XZCE,TA1911.XZCE,CF1901.XZCE,CF1903.XZCE,CF1905.XZCE,CF1907.XZCE,CF1909.XZCE,CF1911.XZCE,SR1901.XZCE,SR1903.XZCE,SR1905.XZCE,SR1907.XZCE,SR1909.XZCE,SR1911.XZCE,AU1812.XSGE,AU1901.XSGE,AU1902.XSGE,AU1904.XSGE,AU1906.XSGE,AU1908.XSGE,AU1910.XSGE,AU1912.XSGE,FG1812.XZCE,FG1901.XZCE,FG1902.XZCE,FG1903.XZCE,FG1904.XZCE,FG1905.XZCE,FG1906.XZCE,FG1907.XZCE,FG1908.XZCE,FG1909.XZCE,FG1910.XZCE,FG1911.XZCE,MA1812.XZCE,MA1901.XZCE,MA1902.XZCE,MA1903.XZCE,MA1904.XZCE,MA1905.XZCE,MA1906.XZCE,MA1907.XZCE,MA1908.XZCE,MA1909.XZCE,MA1910.XZCE,MA1911.XZCE,AL1812.XSGE,AL1901.XSGE,AL1902.XSGE,AL1903.XSGE,AL1904.XSGE,AL1905.XSGE,AL1906.XSGE,AL1907.XSGE,AL1908.XSGE,AL1909.XSGE,AL1910.XSGE,AL1911.XSGE,OI1901.XZCE,OI1903.XZCE,OI1905.XZCE,OI1907.XZCE,OI1909.XZCE,OI1911.XZCE,RM1901.XZCE,RM1903.XZCE,RM1905.XZCE,RM1907.XZCE,RM1908.XZCE,RM1909.XZCE,RM1911.XZCE,I1812.XDCE,I1901.XDCE,I1902.XDCE,I1903.XDCE,I1904.XDCE,I1905.XDCE,I1906.XDCE,I1907.XDCE,I1908.XDCE,I1909.XDCE,I1910.XDCE,I1911.XDCE,JM1812.XDCE,JM1901.XDCE,JM1902.XDCE,JM1903.XDCE,JM1904.XDCE,JM1905.XDCE,JM1906.XDCE,JM1907.XDCE,JM1908.XDCE,JM1909.XDCE,JM1910.XDCE,JM1911.XDCE,CU1812.XSGE,CU1901.XSGE,CU1902.XSGE,CU1903.XSGE,CU1904.XSGE,CU1905.XSGE,CU1906.XSGE,CU1907.XSGE,CU1908.XSGE,CU1909.XSGE,CU1910.XSGE,CU1911.XSGE,V1812.XDCE,V1901.XDCE,V1902.XDCE,V1903.XDCE,V1904.XDCE,V1905.XDCE,V1906.XDCE,V1907.XDCE,V1908.XDCE,V1909.XDCE,V1910.XDCE,V1911.XDCE,RU1901.XSGE,RU1903.XSGE,RU1904.XSGE,RU1905.XSGE,RU1906.XSGE,RU1907.XSGE,RU1908.XSGE,RU1909.XSGE,RU1910.XSGE,RU1911.XSGE,IF1812.CCFX,IF1901.CCFX,IF1903.CCFX,IF1906.CCFX
2018-12-12,3225.0,3272.0,3459.0,3498.0,3528.0,3569.0,3522.0,1885.0,1885.0,1876.0,1899.0,1909.0,1932.0,3542.0,3697.0,3480.0,3454.0,3443.0,3379.0,3351.0,3342.0,3328.0,3292.0,3234.0,3214.0,2900.0,2937.0,2867.0,2705.0,2695.0,2720.0,2735.0,2750.0,4398.0,4108.0,4452.0,4422.0,4656.0,4512.0,4658.0,4646.0,4622.0,4628.0,4704.0,4636.0,3410.0,2381.0,2286.0,2127.0,2068.0,2011.0,2024.0,1925.5,1929.0,1898.0,1920.0,1888.0,21750.0,21550.0,21320.0,21130.0,20975.0,20830.0,20720.0,20560.0,20480.0,20380.0,20235.0,20180.0,5284.0,5110.0,5196.0,5408.0,5440.0,5486.0,5536.0,5562.0,9035.0,8985.0,8800.0,8885.0,8625.0,8425.0,8425.0,8365.0,8375.0,8270.0,8325.0,8260.0,3538.0,3542.0,3559.0,3544.0,3562.0,3575.0,3593.0,3571.0,3572.0,3630.0,3626.0,3656.0,6602.0,6488.0,6378.0,6238.0,6156.0,6158.0,6124.0,6102.0,6006.0,6052.0,6048.0,6000.0,14745.0,15010.0,15440.0,15600.0,15900.0,15800.0,4953.0,4947.0,4921.0,4935.0,4973.0,5008.0,279.1,278.55,279.2,281.0,282.45,285.1,286.45,286.3,1364.0,1310.0,1270.0,1258.0,1274.0,1275.0,1271.0,1251.0,1257.0,1262.0,1238.0,1249.0,2547.0,2423.0,2475.0,2459.0,2506.0,2475.0,2476.0,2480.0,2489.0,2486.0,2500.0,2509.0,13610.0,13690.0,13735.0,13780.0,13825.0,13870.0,13925.0,13920.0,13960.0,14045.0,13990.0,14050.0,6511.0,6581.0,6696.0,6899.0,6835.0,6722.0,2227.0,2245.0,2234.0,2240.0,2254.0,2254.0,2210.0,499.5,513.5,512.0,497.0,494.5,483.0,455.5,473.0,457.5,465.5,453.0,460.5,1380.0,1438.0,1398.0,1325.0,1223.5,1215.5,1208.5,1282.5,1302.0,1272.0,1262.0,1238.5,49440.0,49480.0,49450.0,49450.0,49450.0,49470.0,49470.0,49540.0,49480.0,49580.0,49590.0,49640.0,6505.0,6520.0,6430.0,6145.0,6215.0,6275.0,6155.0,6155.0,6255.0,6240.0,6160.0,6255.0,10965.0,11155.0,11280.0,11250.0,11355.0,11300.0,11460.0,11500.0,11590.0,11650.0,3186.0,3190.6,3200.0,3199.8
2018-12-13,3202.0,3264.0,3471.0,3479.0,3538.0,3569.0,3534.0,1888.0,1888.0,1875.0,1897.0,1907.0,1931.0,3542.0,3746.0,3530.0,3514.0,3479.0,3431.0,3400.0,3394.0,3373.0,3338.0,3278.0,3236.0,2900.0,2940.0,2870.0,2711.0,2703.0,2715.0,2745.0,2751.0,4398.0,4096.0,4386.0,4422.0,4642.0,4534.0,4644.0,4644.0,4620.0,4646.0,4704.0,4636.0,3410.0,2423.0,2286.0,2127.0,2065.5,2043.0,1994.0,1910.0,1929.0,1928.5,1901.0,1888.0,21570.0,21355.0,21125.0,20955.0,20820.0,20695.0,20540.0,20425.0,20285.0,20230.0,20035.0,19980.0,5284.0,5088.0,5250.0,5412.0,5456.0,5486.0,5548.0,5528.0,9035.0,9035.0,8800.0,8885.0,8625.0,8480.0,8355.0,8365.0,8380.0,8310.0,8325.0,8260.0,3536.0,3554.0,3556.0,3560.0,3563.0,3588.0,3596.0,3599.0,3578.0,3626.0,3626.0,3661.0,6932.0,6494.0,6378.0,6220.0,6158.0,6146.0,6080.0,6088.0,6006.0,6042.0,5988.0,6022.0,14725.0,15375.0,15395.0,15540.0,15865.0,15800.0,4958.0,4980.0,4936.0,4935.0,4985.0,5008.0,277.7,277.8,279.3,280.45,281.85,284.95,286.45,285.5,1348.0,1305.0,1270.0,1258.0,1274.0,1288.0,1278.0,1255.0,1263.0,1273.0,1238.0,1250.0,2528.0,2441.0,2467.0,2496.0,2506.0,2483.0,2572.0,2463.0,2486.0,2497.0,2540.0,2493.0,13580.0,13660.0,13700.0,13750.0,13795.0,13850.0,13900.0,13945.0,13980.0,14035.0,13990.0,14090.0,6527.0,6611.0,6709.0,6899.0,6848.0,6753.0,2223.0,2239.0,2234.0,2233.0,2240.0,2250.0,2205.0,499.5,514.0,512.0,495.5,497.0,480.0,455.5,471.0,461.5,463.5,465.0,460.0,1380.0,1444.0,1398.0,1291.0,1223.5,1259.0,1208.5,1326.0,1302.0,1314.0,1262.0,1254.5,49330.0,49360.0,49400.0,49400.0,49420.0,49420.0,49440.0,49450.0,49470.0,49500.0,49490.0,49610.0,6505.0,6520.0,6415.0,6130.0,6200.0,6325.0,6155.0,6165.0,6270.0,6245.0,6160.0,6260.0,11095.0,11335.0,11280.0,11400.0,11350.0,11300.0,11475.0,11650.0,11590.0,11750.0,3242.6,3246.8,3258.4,3259.6
2018-12-14,3162.0,3210.0,3461.0,3479.0,3533.0,3569.0,3525.0,1889.0,1888.0,1877.0,1900.0,1907.0,1932.0,3542.0,3750.0,3547.0,3523.0,3519.0,3450.0,3428.0,3409.0,3399.0,3357.0,3299.0,3273.0,2900.0,2920.0,2860.0,2707.0,2704.0,2694.0,2746.0,2751.0,4398.0,4122.0,4458.0,4414.0,4634.0,4520.0,4668.0,4644.0,4626.0,4626.0,4704.0,4636.0,3410.0,2423.0,2320.5,2159.0,2101.0,2048.0,2002.5,1910.0,1929.0,1929.0,1901.0,1888.0,21490.0,21340.0,21075.0,20895.0,20750.0,20620.0,20470.0,20355.0,20255.0,20200.0,20015.0,19815.0,5284.0,5068.0,5134.0,5384.0,5456.0,5486.0,5512.0,5550.0,9035.0,9075.0,8810.0,8895.0,8625.0,8540.0,8385.0,8395.0,8380.0,8365.0,8325.0,8260.0,3530.0,3537.0,3556.0,3560.0,3571.0,3576.0,3590.0,3605.0,3595.0,3630.0,3635.0,3623.0,7256.0,6530.0,6460.0,6308.0,6150.0,6230.0,6190.0,6168.0,6006.0,6106.0,6082.0,6076.0,14650.0,14935.0,15380.0,15555.0,15845.0,15800.0,4983.0,5000.0,4993.0,4975.0,5030.0,5038.0,277.5,277.05,278.2,279.6,281.05,285.0,286.45,284.9,1344.0,1302.0,1266.0,1254.0,1281.0,1299.0,1285.0,1266.0,1270.0,1283.0,1252.0,1264.0,2536.0,2459.0,2536.0,2475.0,2515.0,2508.0,2537.0,2463.0,2486.0,2524.0,2540.0,2507.0,13545.0,13620.0,13670.0,13720.0,13765.0,13830.0,13865.0,13910.0,13980.0,13990.0,13990.0,14065.0,6502.0,6611.0,6678.0,6869.0,6820.0,6755.0,2167.0,2183.0,2226.0,2222.0,2269.0,2246.0,2265.0,499.5,516.0,512.0,502.5,497.5,485.0,455.5,474.5,461.5,466.5,460.0,463.0,1380.0,1437.0,1402.0,1276.0,1215.0,1258.0,1233.5,1327.5,1320.0,1320.0,1289.5,1282.0,49330.0,49430.0,49440.0,49470.0,49490.0,49490.0,49490.0,49500.0,49470.0,49560.0,49590.0,49600.0,6505.0,6555.0,6415.0,6130.0,6200.0,6355.0,6180.0,6190.0,6300.0,6280.0,6160.0,6260.0,11060.0,11245.0,11280.0,11340.0,11350.0,11460.0,11475.0,11595.0,11590.0,11700.0,3215.4,3220.0,3235.0,3231.8
