,A1903.XDCE,A1905.XDCE,A1907.XDCE,A1909.XDCE,A1911.XDCE,A2001.XDCE,C1903.XDCE,C1905.XDCE,C1907.XDCE,C1909.XDCE,C1911.XDCE,C2001.XDCE,RB1903.XSGE,RB1904.XSGE,RB1905.XSGE,RB1906.XSGE,RB1907.XSGE,RB1908.XSGE,RB1909.XSGE,RB1910.XSGE,RB1911.XSGE,RB1912.XSGE,RB2001.XSGE,RB2002.XSGE,M1903.XDCE,M1905.XDCE,M1907.XDCE,M1908.XDCE,M1909.XDCE,M1911.XDCE,M1912.XDCE,M2001.XDCE,P1903.XDCE,P1904.XDCE,P1905.XDCE,P1906.XDCE,P1907.XDCE,P1908.XDCE,P1909.XDCE,P1910.XDCE,P1911.XDCE,P1912.XDCE,P2001.XDCE,P2002.XDCE,J1903.XDCE,J1904.XDCE,J1905.XDCE,J1906.XDCE,J1907.XDCE,J1908.XDCE,J1909.XDCE,J1910.XDCE,J1911.XDCE,J1912.XDCE,J2001.XDCE,J2002.XDCE,ZN1903.XSGE,ZN1904.XSGE,ZN1905.XSGE,ZN1906.XSGE,ZN1907.XSGE,ZN1908.XSGE,ZN1909.XSGE,ZN1910.XSGE,ZN1911.XSGE,ZN1912.XSGE,ZN2001.XSGE,ZN2002.XSGE,Y1903.XDCE,Y1905.XDCE,Y1907.XDCE,Y1908.XDCE,Y1909.XDCE,Y1911.XDCE,Y1912.XDCE,Y2001.XDCE,L1903.XDCE,L1904.XDCE,L1905.XDCE,L1906.XDCE,L1907.XDCE,L1908.XDCE,L1909.XDCE,L1910.XDCE,L1911.XDCE,L1912.XDCE,L2001.XDCE,L2002.XDCE,AG1903.XSGE,AG1904.XSGE,AG1905.XSGE,AG1906.XSGE,AG1907.XSGE,AG1908.XSGE,AG1909.XSGE,AG1910.XSGE,AG1911.XSGE,AG1912.XSGE,AG2001.XSGE,AG2002.XSGE,TA1903.XZCE,TA1904.XZCE,TA1905.XZCE,TA1906.XZCE,TA1907.XZCE,TA1908.XZCE,TA1909.XZCE,TA1910.XZCE,TA1911.XZCE,TA1912.XZCE,TA2001.XZCE,TA2002.XZCE,CF1903.XZCE,CF1905.XZCE,CF1907.XZCE,CF1909.XZCE,CF1911.XZCE,CF2001.XZCE,SR1903.XZCE,SR1905.XZCE,SR1907.XZCE,SR1909.XZCE,SR1911.XZCE,SR2001.XZCE,AU1903.XSGE,AU1904.XSGE,AU1905.XSGE,AU1906.XSGE,AU1908.XSGE,AU1910.XSGE,AU1912.XSGE,AU2002.XSGE,FG1903.XZCE,FG1904.XZCE,FG1905.XZCE,FG1906.XZCE,FG1907.XZCE,FG1908.XZCE,FG1909.XZCE,FG1910.XZCE,FG1911.XZCE,FG1912.XZCE,FG2001.XZCE,FG2002.XZCE,MA1903.XZCE,MA1904.XZCE,MA1905.XZCE,MA1906.XZCE,MA1907.XZCE,MA1908.XZCE,MA1909.XZCE,MA1910.XZCE,MA1911.XZCE,MA1912.XZCE,MA2001.XZCE,MA2002.XZCE,AL1903.XSGE,AL1904.XSGE,AL1905.XSGE,AL1906.XSGE,AL1907.XSGE,AL1908.XSGE,AL1909.XSGE,AL1910.XSGE,AL1911.XSGE,AL1912.XSGE,AL2001.XSGE,AL2002.XSGE,OI1903.XZCE,OI1905.XZCE,OI1907.XZCE,OI1909.XZCE,OI1911.XZCE,OI2001.XZCE,RM1903.XZCE,RM1905.XZCE,RM1907.XZCE,RM1908.XZCE,RM1909.XZCE,RM1911.XZCE,RM2001.XZCE,I1903.XDCE,I1904.XDCE,I1905.XDCE,I1906.XDCE,I1907.XDCE,I1908.XDCE,I1909.XDCE,I1910.XDCE,I1911.XDCE,I1912.XDCE,I2001.XDCE,I2002.XDCE,JM1903.XDCE,JM1904.XDCE,JM1905.XDCE,JM1906.XDCE,JM1907.XDCE,JM1908.XDCE,JM1909.XDCE,JM1910.XDCE,JM1911.XDCE,JM1912.XDCE,JM2001.XDCE,JM2002.XDCE,CU1903.XSGE,CU1904.XSGE,CU1905.XSGE,CU1906.XSGE,CU1907.XSGE,CU1908.XSGE,CU1909.XSGE,CU1910.XSGE,CU1911.XSGE,CU1912.XSGE,CU2001.XSGE,CU2002.XSGE,V1903.XDCE,V1904.XDCE,V1905.XDCE,V1906.XDCE,V1907.XDCE,V1908.XDCE,V1909.XDCE,V1910.XDCE,V1911.XDCE,V1912.XDCE,V2001.XDCE,V2002.XDCE,RU1903.XSGE,RU1904.XSGE,RU1905.XSGE,RU1906.XSGE,RU1907.XSGE,RU1908.XSGE,RU1909.XSGE,RU1910.XSGE,RU1911.XSGE,RU2001.XSGE,IF1903.CCFX,IF1904.CCFX,IF1906.CCFX,IF1909.CCFX
2019-02-18,162.0,119156.0,0.0,11460.0,0.0,1160.0,74406.0,410646.0,77430.0,100510.0,616.0,11588.0,1384.0,162.0,3532344.0,656.0,128.0,112.0,1342.0,337060.0,144.0,144.0,38256.0,566.0,153378.0,1030752.0,161908.0,10.0,177010.0,2402.0,14.0,5650.0,0.0,0.0,318232.0,0.0,0.0,0.0,58090.0,0.0,0.0,0.0,596.0,,2.0,4.0,559684.0,12.0,0.0,0.0,22148.0,0.0,2.0,0.0,434.0,,322014.0,324250.0,100142.0,29886.0,4644.0,184.0,206.0,50.0,34.0,72.0,130.0,28.0,0.0,263040.0,16.0,0.0,57908.0,0.0,0.0,2790.0,0.0,0.0,248124.0,0.0,0.0,0.0,29360.0,0.0,0.0,0.0,2046.0,,26.0,16.0,76.0,395502.0,8.0,2.0,36.0,48.0,2.0,13302.0,12.0,0.0,8070.0,6.0,2603344.0,46.0,154076.0,0.0,64068.0,4.0,67602.0,0.0,4314.0,,62.0,99540.0,16.0,36170.0,11768.0,908.0,36.0,617042.0,8.0,130374.0,4008.0,15340.0,0.0,17456.0,6.0,182550.0,29068.0,4126.0,11960.0,0.0,0.0,0.0,97070.0,6.0,0.0,0.0,9676.0,20.0,154.0,1152.0,342.0,,2.0,76.0,3482744.0,32.0,2200.0,0.0,92960.0,4.0,2214.0,2000.0,2192.0,,130650.0,91066.0,66480.0,16744.0,4994.0,2558.0,236.0,22.0,6.0,10.0,0.0,2.0,0.0,106368.0,0.0,21942.0,1000.0,806.0,0.0,533438.0,36.0,10.0,78846.0,148.0,3244.0,147626.0,2.0,2370452.0,8.0,223976.0,8.0,184728.0,30.0,3268.0,0.0,21300.0,,4.0,0.0,348498.0,4.0,68.0,0.0,20972.0,4.0,0.0,0.0,108.0,,104696.0,221478.0,65130.0,22804.0,4832.0,1648.0,890.0,528.0,276.0,398.0,130.0,22.0,0.0,0.0,140924.0,0.0,0.0,0.0,22036.0,0.0,0.0,0.0,2306.0,,8.0,8.0,306698.0,32.0,26.0,14.0,69668.0,4.0,28.0,4048.0,59393.0,737.0,5429.0,1306.0
2019-02-19,150.0,80574.0,0.0,6668.0,0.0,1430.0,51510.0,392494.0,50666.0,91750.0,1312.0,7468.0,1752.0,622.0,2760590.0,412.0,52.0,282.0,1268.0,325090.0,20.0,56.0,33240.0,528.0,2960.0,799778.0,170290.0,10.0,151958.0,1850.0,10.0,4174.0,0.0,0.0,427362.0,0.0,0.0,0.0,75074.0,16.0,0.0,0.0,942.0,,0.0,0.0,536818.0,0.0,0.0,0.0,24658.0,0.0,0.0,0.0,272.0,,159600.0,381236.0,71222.0,30858.0,3252.0,98.0,128.0,16.0,18.0,70.0,78.0,4.0,60.0,329760.0,4.0,0.0,87616.0,2.0,0.0,5610.0,0.0,0.0,325832.0,0.0,0.0,0.0,25928.0,0.0,0.0,0.0,1918.0,,68.0,6.0,66.0,272616.0,6.0,0.0,20.0,18.0,4.0,9560.0,8.0,0.0,3570.0,0.0,1846352.0,0.0,144394.0,0.0,70158.0,0.0,65340.0,0.0,3484.0,,46.0,286786.0,56.0,62458.0,82.0,2982.0,26.0,339192.0,2.0,74038.0,240.0,5820.0,0.0,8736.0,0.0,106198.0,14458.0,2396.0,5428.0,2.0,0.0,0.0,219038.0,0.0,0.0,0.0,14894.0,0.0,0.0,1128.0,472.0,,0.0,6.0,2272676.0,46.0,1362.0,0.0,57194.0,0.0,1372.0,0.0,676.0,,93686.0,69762.0,56668.0,21238.0,2680.0,3926.0,280.0,96.0,2.0,36.0,14.0,10.0,0.0,199798.0,0.0,53746.0,2.0,2142.0,134.0,661824.0,62.0,14.0,104792.0,168.0,3936.0,66682.0,0.0,1370094.0,10.0,255568.0,18.0,173686.0,10.0,3540.0,2.0,24478.0,,0.0,0.0,197240.0,4.0,22.0,0.0,13754.0,0.0,0.0,0.0,44.0,,73134.0,170316.0,46126.0,23500.0,4006.0,1574.0,1186.0,516.0,180.0,200.0,108.0,28.0,0.0,0.0,137400.0,0.0,0.0,0.0,20448.0,4.0,0.0,0.0,1070.0,,66.0,76.0,684994.0,108.0,38.0,172.0,142984.0,12.0,436.0,9630.0,67661.0,1227.0,6700.0,1499.0
2019-02-20,2.0,109584.0,0.0,10940.0,0.0,4236.0,34420.0,341824.0,43510.0,95286.0,322.0,7932.0,1960.0,694.0,3918544.0,406.0,144.0,398.0,1928.0,390308.0,84.0,78.0,41818.0,298.0,50038.0,1970878.0,200440.0,14.0,343332.0,2402.0,30.0,15314.0,0.0,0.0,509066.0,0.0,0.0,0.0,89512.0,10.0,4.0,26.0,16972.0,,0.0,0.0,553482.0,38.0,2.0,0.0,22546.0,0.0,0.0,0.0,278.0,,106122.0,424454.0,71360.0,26492.0,2752.0,86.0,58.0,34.0,40.0,20.0,54.0,16.0,0.0,361142.0,2.0,0.0,113084.0,0.0,0.0,7464.0,0.0,0.0,246556.0,0.0,2.0,2.0,29322.0,2.0,0.0,0.0,2220.0,,42.0,20.0,188.0,604220.0,46.0,36.0,62.0,34.0,0.0,21516.0,6.0,0.0,6876.0,0.0,1763082.0,40.0,118162.0,0.0,64602.0,0.0,52006.0,0.0,2000.0,,108.0,244126.0,82.0,60630.0,40.0,3790.0,62.0,552546.0,52.0,102936.0,16.0,8422.0,0.0,16792.0,20.0,187480.0,31944.0,3594.0,7624.0,20.0,0.0,0.0,122768.0,6.0,0.0,0.0,10184.0,0.0,100.0,104.0,218.0,,8.0,0.0,2002314.0,0.0,0.0,0.0,46674.0,0.0,3026.0,4004.0,414.0,,96598.0,111444.0,94816.0,27042.0,6186.0,1182.0,120.0,86.0,2.0,0.0,0.0,0.0,0.0,164264.0,0.0,44576.0,0.0,2502.0,58.0,981392.0,84.0,24.0,138344.0,232.0,10578.0,26132.0,0.0,2375064.0,30.0,150320.0,6.0,285508.0,16.0,4290.0,0.0,35486.0,,0.0,0.0,245506.0,0.0,36.0,0.0,18234.0,0.0,0.0,0.0,46.0,,71100.0,196492.0,72770.0,26708.0,13586.0,2168.0,1400.0,960.0,296.0,334.0,128.0,12.0,66.0,0.0,99256.0,2.0,0.0,0.0,13728.0,0.0,0.0,0.0,570.0,,0.0,14.0,508496.0,68.0,46.0,4.0,123194.0,18.0,188.0,11238.0,58697.0,1288.0,5643.0,1281.0
2019-02-21,94.0,116714.0,0.0,6330.0,0.0,2504.0,2800.0,340132.0,7406.0,63032.0,292.0,5132.0,1440.0,324.0,3928972.0,326.0,42.0,124.0,1250.0,379054.0,72.0,98.0,29594.0,204.0,5122.0,1032460.0,113434.0,0.0,191342.0,2164.0,22.0,5428.0,0.0,0.0,366372.0,8.0,0.0,2.0,62112.0,0.0,2.0,6.0,2700.0,,0.0,38.0,476652.0,30.0,4.0,0.0,20240.0,0.0,0.0,0.0,358.0,,85348.0,456264.0,73434.0,25028.0,6402.0,144.0,170.0,94.0,74.0,74.0,302.0,6.0,0.0,332160.0,0.0,6.0,76804.0,0.0,0.0,2480.0,0.0,0.0,217030.0,0.0,0.0,0.0,21080.0,0.0,2.0,0.0,1492.0,,12.0,110.0,238.0,457394.0,40.0,18.0,16.0,74.0,8.0,14966.0,2.0,0.0,16116.0,0.0,2220800.0,18.0,142342.0,0.0,91990.0,12.0,68020.0,0.0,3002.0,,38.0,358754.0,24.0,87104.0,156.0,4772.0,20.0,526312.0,12.0,117254.0,60.0,12226.0,0.0,15428.0,2.0,163306.0,31656.0,4200.0,10016.0,4.0,0.0,0.0,178554.0,2.0,4.0,0.0,12900.0,0.0,0.0,6.0,354.0,,16.0,8.0,2392100.0,30.0,0.0,0.0,77346.0,14.0,172.0,42.0,11704.0,,71520.0,126698.0,94966.0,27856.0,6298.0,1460.0,262.0,56.0,40.0,28.0,4.0,4.0,0.0,124690.0,0.0,32224.0,0.0,1466.0,24.0,558720.0,7812.0,7836.0,78848.0,7946.0,5296.0,2958.0,0.0,1781004.0,24.0,200854.0,2.0,217810.0,14.0,2402.0,0.0,22224.0,,0.0,0.0,297916.0,2.0,52.0,0.0,27974.0,0.0,0.0,0.0,178.0,,72362.0,220484.0,78540.0,20624.0,5900.0,1352.0,734.0,266.0,148.0,178.0,18.0,6.0,0.0,0.0,208418.0,0.0,0.0,0.0,30112.0,0.0,0.0,0.0,692.0,,0.0,10.0,403096.0,48.0,4.0,2.0,89408.0,26.0,170.0,7412.0,77478.0,2582.0,8200.0,1242.0
2019-02-22,164.0,125386.0,26.0,9840.0,0.0,1800.0,2296.0,292162.0,16722.0,110494.0,680.0,4406.0,636.0,598.0,3278144.0,244.0,130.0,144.0,1158.0,344950.0,58.0,92.0,33422.0,440.0,3394.0,1033030.0,45000.0,0.0,179230.0,1352.0,10.0,6324.0,0.0,0.0,311030.0,152.0,0.0,0.0,56790.0,0.0,10.0,76.0,2134.0,0.0,0.0,0.0,387502.0,22.0,2.0,0.0,19276.0,24.0,0.0,0.0,316.0,0.0,63076.0,440878.0,63142.0,27508.0,6212.0,248.0,96.0,94.0,62.0,46.0,134.0,54.0,0.0,352112.0,4.0,0.0,97812.0,0.0,4.0,4038.0,0.0,0.0,153114.0,4.0,0.0,0.0,21920.0,0.0,0.0,0.0,1938.0,0.0,4.0,34.0,168.0,369722.0,0.0,2.0,88.0,2.0,2.0,15714.0,12.0,0.0,5424.0,0.0,1950050.0,34.0,74744.0,0.0,62414.0,2.0,21338.0,0.0,4264.0,0.0,58.0,610128.0,260.0,143958.0,212.0,9292.0,78.0,684588.0,18.0,139066.0,22.0,22336.0,0.0,17374.0,6.0,160092.0,30832.0,3274.0,3866.0,8.0,0.0,0.0,108788.0,2.0,0.0,0.0,8960.0,0.0,0.0,0.0,268.0,0.0,10.0,4.0,1625664.0,0.0,0.0,0.0,43192.0,6.0,88.0,0.0,2340.0,0.0,80636.0,210054.0,167732.0,42394.0,7234.0,976.0,388.0,42.0,34.0,6.0,14.0,24.0,2.0,123794.0,0.0,33350.0,0.0,1216.0,86.0,695220.0,36.0,18.0,83588.0,176.0,6572.0,5820.0,4.0,2445022.0,90.0,139848.0,8.0,276816.0,8.0,956.0,0.0,22184.0,0.0,0.0,4.0,226230.0,8.0,90.0,0.0,20798.0,0.0,0.0,0.0,30.0,0.0,50212.0,169764.0,68348.0,21116.0,5582.0,2404.0,630.0,382.0,388.0,168.0,74.0,12.0,0.0,0.0,132702.0,0.0,0.0,0.0,17496.0,0.0,0.0,0.0,434.0,0.0,8.0,2.0,301738.0,80.0,10.0,0.0,69318.0,0.0,178.0,8912.0,76687.0,2196.0,8067.0,1290.0
2019-02-25,172.0,142832.0,48.0,10318.0,0.0,2568.0,54152.0,582844.0,79620.0,186934.0,460.0,10302.0,1146.0,360.0,3659076.0,406.0,54.0,74.0,1320.0,389060.0,46.0,66.0,35390.0,452.0,13596.0,1440726.0,211982.0,18.0,232762.0,2074.0,28.0,9984.0,6.0,0.0,391428.0,0.0,0.0,0.0,67638.0,0.0,0.0,0.0,1914.0,4.0,8.0,0.0,506140.0,24.0,0.0,0.0,33844.0,8.0,0.0,0.0,578.0,0.0,62182.0,578610.0,124192.0,34242.0,6364.0,388.0,216.0,110.0,36.0,216.0,40.0,34.0,4.0,362450.0,0.0,0.0,99830.0,0.0,0.0,5694.0,0.0,0.0,196932.0,0.0,0.0,0.0,22420.0,0.0,0.0,0.0,2276.0,0.0,28.0,28.0,170.0,430080.0,12.0,0.0,34.0,4.0,8.0,19830.0,16.0,0.0,6764.0,0.0,2203240.0,14.0,108034.0,0.0,88476.0,0.0,24686.0,0.0,4882.0,0.0,18.0,574914.0,330.0,166184.0,90.0,13612.0,34.0,524446.0,18.0,172426.0,282.0,25784.0,2.0,18108.0,60.0,179152.0,31896.0,3790.0,5162.0,18.0,0.0,0.0,113820.0,0.0,0.0,0.0,8796.0,0.0,0.0,40.0,430.0,0.0,10.0,40.0,2116100.0,0.0,800.0,0.0,64292.0,4.0,814.0,0.0,2914.0,0.0,76372.0,200308.0,143276.0,42520.0,15314.0,1514.0,1328.0,62.0,28.0,2.0,10.0,12.0,0.0,133812.0,0.0,34118.0,60.0,728.0,30.0,867466.0,7872.0,7800.0,112010.0,7904.0,8950.0,7120.0,4.0,2203030.0,0.0,114062.0,12.0,242710.0,30.0,1530.0,0.0,21192.0,0.0,0.0,0.0,288940.0,2.0,38.0,0.0,34122.0,0.0,0.0,0.0,28.0,0.0,74256.0,275480.0,125936.0,36584.0,10960.0,2730.0,1084.0,600.0,396.0,350.0,48.0,12.0,0.0,0.0,151114.0,0.0,0.0,0.0,22316.0,0.0,0.0,0.0,1558.0,0.0,4.0,12.0,588298.0,48.0,28.0,16.0,136226.0,10.0,252.0,22820.0,104191.0,3772.0,13424.0,2729.0
2019-02-26,1136.0,149988.0,38.0,12538.0,0.0,1992.0,78300.0,556032.0,114470.0,138498.0,1510.0,6208.0,166.0,240.0,3998202.0,172.0,76.0,24.0,1488.0,381502.0,60.0,44.0,30420.0,292.0,5090.0,1280230.0,156118.0,22.0,246906.0,1254.0,70.0,10904.0,0.0,2.0,538378.0,12.0,8.0,0.0,99480.0,8.0,4.0,0.0,6242.0,0.0,0.0,14.0,464474.0,0.0,0.0,0.0,25936.0,0.0,0.0,0.0,378.0,0.0,44248.0,501226.0,98352.0,25978.0,3962.0,190.0,220.0,82.0,28.0,86.0,4.0,10.0,0.0,448262.0,12.0,0.0,115372.0,0.0,0.0,5656.0,0.0,0.0,156712.0,0.0,0.0,0.0,15028.0,0.0,0.0,0.0,2122.0,0.0,16.0,18.0,256.0,411664.0,16.0,4.0,18.0,12.0,0.0,15406.0,16.0,0.0,10704.0,10.0,2595222.0,36.0,117782.0,0.0,114300.0,0.0,23274.0,0.0,5074.0,0.0,74.0,296694.0,222.0,92676.0,8.0,2446.0,110.0,1122962.0,108.0,229990.0,860.0,26432.0,2.0,3438.0,2.0,152828.0,26462.0,3898.0,8840.0,18.0,0.0,0.0,118812.0,12.0,0.0,0.0,9696.0,0.0,0.0,2.0,296.0,0.0,34.0,22.0,2758590.0,4.0,0.0,0.0,85866.0,20.0,3014.0,0.0,6450.0,0.0,32900.0,122180.0,124900.0,36420.0,14010.0,696.0,1020.0,54.0,710.0,22.0,22.0,20.0,2.0,230788.0,0.0,62260.0,0.0,1918.0,66.0,713600.0,7818.0,5848.0,109474.0,102.0,6790.0,6006.0,2.0,1985528.0,8.0,90216.0,20.0,243812.0,0.0,1756.0,0.0,27910.0,0.0,0.0,0.0,253916.0,0.0,44.0,0.0,27728.0,0.0,0.0,0.0,56.0,0.0,53034.0,229798.0,125410.0,31638.0,6914.0,3126.0,892.0,1386.0,176.0,542.0,60.0,26.0,0.0,0.0,145966.0,0.0,0.0,0.0,20108.0,0.0,0.0,0.0,1948.0,0.0,242.0,42.0,425374.0,32.0,10.0,26.0,97566.0,2.0,78.0,11242.0,97918.0,4590.0,14107.0,3064.0
2019-02-27,116.0,114632.0,22.0,10548.0,0.0,3108.0,75932.0,310130.0,89718.0,75234.0,382.0,4794.0,1080.0,60.0,2948082.0,44.0,82.0,70.0,1074.0,241622.0,40.0,4.0,21006.0,204.0,1956.0,1838758.0,146652.0,2.0,323422.0,2920.0,2.0,21776.0,0.0,0.0,292910.0,0.0,22.0,0.0,55378.0,10.0,0.0,0.0,3396.0,0.0,6.0,0.0,423890.0,0.0,0.0,0.0,24202.0,0.0,0.0,0.0,346.0,0.0,36624.0,433744.0,136002.0,42032.0,11470.0,200.0,56.0,22.0,14.0,26.0,24.0,6.0,92.0,262050.0,0.0,0.0,76234.0,0.0,4.0,3998.0,0.0,0.0,173884.0,0.0,0.0,2.0,21354.0,0.0,0.0,0.0,1564.0,0.0,46.0,16.0,70.0,356790.0,2.0,0.0,2.0,6.0,0.0,13262.0,4.0,0.0,6270.0,32.0,1657818.0,32.0,66942.0,0.0,58396.0,0.0,7834.0,4.0,2932.0,0.0,22.0,200054.0,194.0,63026.0,3712.0,2246.0,146.0,724330.0,8.0,140832.0,20.0,15982.0,0.0,1964.0,0.0,119290.0,19718.0,2886.0,5266.0,18.0,0.0,0.0,122194.0,0.0,0.0,0.0,7516.0,0.0,0.0,1400.0,182.0,0.0,4.0,10.0,1865634.0,30.0,0.0,0.0,55520.0,14.0,5650.0,0.0,2214.0,0.0,35264.0,103528.0,126400.0,30130.0,4888.0,2150.0,150.0,68.0,40.0,10.0,2.0,4.0,0.0,110102.0,0.0,37646.0,0.0,6718.0,10.0,942572.0,56.0,6.0,135082.0,346.0,9210.0,9162.0,10.0,1552706.0,54.0,72370.0,12.0,236916.0,22.0,1736.0,0.0,17512.0,0.0,0.0,0.0,309216.0,8.0,102.0,0.0,34404.0,0.0,0.0,0.0,78.0,0.0,39936.0,182712.0,104190.0,29530.0,17020.0,2944.0,1684.0,466.0,284.0,280.0,50.0,24.0,0.0,0.0,105540.0,6.0,0.0,0.0,15794.0,0.0,0.0,0.0,794.0,0.0,0.0,6.0,376048.0,70.0,30.0,6.0,77764.0,0.0,30.0,7758.0,89697.0,4358.0,12492.0,3022.0
2019-02-28,558.0,111210.0,14.0,9096.0,0.0,1582.0,5270.0,558722.0,244196.0,165000.0,902.0,9070.0,1194.0,152.0,3461158.0,126.0,58.0,28.0,1000.0,321964.0,42.0,14.0,30000.0,258.0,8188.0,1252956.0,51414.0,10.0,221672.0,2008.0,6.0,11984.0,0.0,0.0,311586.0,36.0,4.0,0.0,62640.0,0.0,20.0,26.0,2290.0,0.0,4.0,0.0,413970.0,0.0,8.0,0.0,22958.0,0.0,0.0,0.0,488.0,0.0,25264.0,407376.0,98574.0,23950.0,4334.0,136.0,76.0,52.0,4.0,24.0,24.0,4.0,10.0,313750.0,0.0,0.0,80322.0,0.0,0.0,4394.0,2.0,0.0,222262.0,0.0,0.0,0.0,28348.0,0.0,0.0,0.0,2136.0,0.0,142.0,50.0,142.0,499290.0,0.0,10.0,92.0,6.0,4.0,51304.0,56.0,0.0,11124.0,4.0,1456502.0,2.0,57824.0,0.0,45694.0,0.0,2488.0,0.0,2018.0,0.0,72.0,186506.0,72.0,51960.0,64.0,2364.0,56.0,496292.0,48.0,86464.0,116.0,8934.0,0.0,3272.0,12.0,173762.0,27860.0,4656.0,7262.0,0.0,0.0,0.0,276852.0,8.0,0.0,4.0,20798.0,0.0,0.0,412.0,1036.0,6.0,18.0,4.0,1423066.0,28.0,230.0,0.0,40922.0,0.0,8444.0,0.0,2106.0,0.0,24662.0,77400.0,134488.0,23478.0,7510.0,7354.0,8020.0,84.0,54.0,18.0,2.0,0.0,14.0,126144.0,0.0,43570.0,2.0,1112.0,30.0,753806.0,38.0,10.0,108924.0,38.0,5724.0,8922.0,0.0,1782360.0,210.0,50308.0,0.0,191474.0,4.0,1160.0,0.0,13024.0,0.0,0.0,0.0,208042.0,0.0,48.0,0.0,18618.0,0.0,0.0,0.0,80.0,0.0,42964.0,172546.0,105412.0,25768.0,8190.0,2274.0,874.0,298.0,278.0,242.0,140.0,14.0,6.0,0.0,165622.0,2.0,0.0,0.0,35366.0,0.0,0.0,0.0,1394.0,0.0,0.0,0.0,312518.0,10.0,0.0,24.0,60182.0,0.0,66.0,5938.0,74602.0,3307.0,9452.0,2088.0
2019-03-01,660.0,137510.0,40.0,13528.0,0.0,2826.0,5484.0,447696.0,67030.0,122348.0,232.0,9560.0,62.0,436.0,2986416.0,470.0,130.0,428.0,1166.0,351818.0,254.0,22.0,34164.0,384.0,8976.0,3017588.0,273836.0,2470.0,563634.0,942.0,4.0,22862.0,0.0,0.0,691702.0,0.0,0.0,0.0,112904.0,0.0,0.0,38.0,3102.0,0.0,2.0,40.0,427966.0,4.0,0.0,0.0,25500.0,4.0,0.0,0.0,374.0,0.0,21268.0,472402.0,178496.0,44268.0,11272.0,676.0,470.0,50.0,46.0,86.0,52.0,14.0,0.0,617460.0,2.0,0.0,165524.0,0.0,0.0,8290.0,0.0,0.0,301364.0,0.0,0.0,0.0,43228.0,0.0,0.0,0.0,3658.0,0.0,24.0,48.0,254.0,472070.0,0.0,0.0,178.0,0.0,0.0,25280.0,28.0,0.0,3134.0,0.0,2549530.0,4.0,82870.0,6.0,138550.0,22.0,9232.0,10.0,7158.0,0.0,2.0,218218.0,60.0,58384.0,30.0,2372.0,120.0,461310.0,84.0,100174.0,26.0,12624.0,0.0,698.0,14.0,179312.0,25152.0,5314.0,5038.0,6.0,0.0,0.0,184000.0,4.0,0.0,0.0,15944.0,0.0,900.0,902.0,1102.0,0.0,0.0,6.0,2618248.0,142.0,10.0,0.0,99446.0,2.0,2056.0,2012.0,7704.0,0.0,23738.0,70548.0,127046.0,34380.0,18508.0,6970.0,4988.0,1696.0,58.0,2.0,4.0,0.0,0.0,625598.0,0.0,231350.0,2.0,9666.0,20.0,3124322.0,300.0,2036.0,620224.0,2938.0,37706.0,5938.0,0.0,1502196.0,149732.0,145296.0,14.0,155116.0,70.0,492.0,0.0,15452.0,0.0,0.0,0.0,249084.0,2.0,84.0,0.0,25582.0,0.0,0.0,0.0,120.0,0.0,33422.0,163088.0,123242.0,29004.0,12482.0,4290.0,2692.0,548.0,220.0,248.0,114.0,34.0,0.0,0.0,169830.0,0.0,0.0,0.0,28158.0,0.0,0.0,0.0,1248.0,0.0,0.0,2.0,439864.0,24.0,38.0,8.0,85366.0,4.0,186.0,9602.0,90486.0,4688.0,11748.0,2296.0
