#,P:nPeriodBreak,P:nATRExit,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
5128,68,3.9,4121840.00,480201.60,45.43,10761.98,383,-1481410.00,78.61,4.2065,0.32,0.6939,5.76,5,-1231054.00,0.39,1.49,2.96,0.2361,2.90,7037670.00,-2915830.00,174,209,100,133,1877820.00,-611820.00,40446.38,-13951.34,83,26,2.41
5129,3,7.4,4121130.00,480118.88,51.52,124882.73,33,-888600.00,74.48,7.6873,0.54,0.9306,14.20,5,-597410.00,0.80,0.77,1.77,0.6254,10.30,4535530.00,-414400.00,17,16,17,16,2350050.00,-414400.00,266795.88,-25900.00,926,30,10.94
5130,3,7.5,4121130.00,480118.88,51.52,124882.73,33,-888600.00,74.48,7.6873,0.54,0.9306,14.20,5,-597410.00,0.80,0.77,1.77,0.6254,10.30,4535530.00,-414400.00,17,16,17,16,2350050.00,-414400.00,266795.88,-25900.00,926,30,10.94
5131,35,5.6,4120290.00,480021.02,48.32,17312.14,238,-1559190.00,76.93,4.3870,0.31,0.7182,5.31,5,-1054994.00,0.45,1.61,3.09,0.3415,3.16,6226590.00,-2106300.00,115,123,51,46,3136590.00,-477450.00,54144.26,-17124.39,142,30,2.96
5132,19,6.3,4119330.00,479909.18,42.86,25585.90,161,-1457720.00,83.14,5.1913,0.33,0.7934,6.28,5,-974568.00,0.49,1.27,2.91,0.3714,5.13,5565270.00,-1445940.00,69,92,54,82,2860300.00,-538270.00,80656.09,-15716.74,220,55,3.85
5133,37,5,4118540.00,479817.14,44.26,13913.99,296,-1836280.00,50.15,4.4288,0.26,0.7008,3.92,5,-1262010.00,0.38,1.06,3.54,0.3615,2.82,7438670.00,-3320130.00,131,165,37,52,3485100.00,-616140.00,56783.74,-20122.00,127,27,2.24
5134,66,4.2,4117560.00,479702.97,46.15,11311.98,364,-1392510.00,82.03,4.6136,0.34,0.7520,7.05,5,-1211504.00,0.40,1.35,2.78,0.2681,2.93,6847940.00,-2730380.00,168,196,99,125,1743690.00,-574740.00,40761.55,-13930.51,82,26,2.51
5135,64,4.9,4116870.00,479622.58,42.32,15418.99,267,-1722940.00,43.38,4.4997,0.28,0.7249,4.48,5,-1251886.00,0.38,1.06,3.34,0.3611,3.02,7508600.00,-3391730.00,113,154,36,79,3578740.00,-578400.00,66447.79,-22024.22,113,37,2.21
5136,48,5.5,4116310.00,479557.34,55.35,19145.63,215,-1386600.00,63.95,4.4546,0.35,0.7671,7.28,5,-1049644.00,0.46,1.60,2.67,0.3825,2.30,6337580.00,-2221270.00,119,96,56,24,3136590.00,-477450.00,53256.97,-23138.23,131,35,2.85
5137,54,5.8,4113920.00,479278.90,56.04,19874.01,207,-1610130.00,63.89,4.5234,0.30,0.7710,5.44,5,-1057462.00,0.45,1.54,3.09,0.3961,2.28,6268810.00,-2154890.00,116,91,57,22,3136590.00,-437200.00,54041.47,-23680.11,129,36,2.91
5138,55,5.8,4113920.00,479278.90,56.04,19874.01,207,-1610130.00,63.89,4.5234,0.30,0.7710,5.44,5,-1057462.00,0.45,1.54,3.09,0.3961,2.28,6268810.00,-2154890.00,116,91,57,22,3136590.00,-437200.00,54041.47,-23680.11,129,36,2.91
5139,16,3.8,4111550.00,479002.79,39.78,7571.92,543,-2058360.00,36.56,4.5244,0.23,0.6737,3.06,5,-1628520.00,0.29,1.35,4.09,0.2438,2.56,10079330.00,-5967780.00,216,327,54,88,2237690.00,-923950.00,46663.56,-18250.09,94,25,1.69
5140,18,6.5,4110740.00,478908.43,38.78,27964.22,147,-1332120.00,81.65,5.1281,0.36,0.7898,7.47,5,-926164.00,0.52,1.27,2.66,0.3616,6.47,5438710.00,-1327970.00,57,90,39,79,2869200.00,-509940.00,95415.96,-14755.22,253,67,4.10
5141,19,6.8,4110310.00,478858.33,51.20,32882.48,125,-1031040.00,98.28,5.0210,0.46,0.8556,13.52,5,-867518.00,0.55,1.19,2.01,0.4318,4.71,5152350.00,-1042040.00,64,61,50,52,2860300.00,-481610.00,80505.47,-17082.62,223,72,4.94
5142,78,4.8,4109250.00,478734.84,55.94,15744.25,261,-1815050.00,61.70,2.7618,0.26,0.5326,2.92,5,-1155350.00,0.41,1.19,3.52,0.3343,2.02,6726690.00,-2617440.00,146,115,93,54,3847800.00,-636240.00,46073.22,-22760.35,84,44,2.57
