#,P:nPeriodBreak,P:nATRExit,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,3,1.3,282280.00,26733.83,43.45,1057.23,267,-58810.00,8.91,0.4327,0.45,0.9138,333.47,5,-47836.00,0.56,0.03,0.12,0.5315,1.88,920140.00,-637860.00,116,151,6,10,35440.00,-20910.00,7932.24,-4224.24,14,5,1.44
2,23,3.4,230820.00,21860.22,44.12,3394.41,68,-105220.00,6.60,0.3296,0.21,0.6548,57.17,5,-58266.00,0.38,0.03,0.21,0.4671,2.35,500950.00,-270130.00,30,38,4,6,95390.00,-15910.00,16698.33,-7108.68,50,20,1.85
3,5,1.5,228870.00,21675.54,42.20,1049.86,218,-80360.00,5.90,0.3850,0.27,0.9174,143.53,5,-45406.00,0.48,0.03,0.16,0.4147,1.91,811180.00,-582310.00,92,126,5,6,50190.00,-16560.00,8817.17,-4621.51,17,6,1.39
4,24,3.4,226070.00,21410.37,44.12,3324.56,68,-105220.00,6.39,0.3226,0.20,0.6517,55.73,5,-58266.00,0.37,0.03,0.21,0.4579,2.33,496200.00,-270130.00,30,38,4,6,95390.00,-15910.00,16540.00,-7108.68,50,20,1.84
5,22,3.4,213760.00,20244.53,42.03,3097.97,69,-104370.00,5.73,0.3143,0.19,0.6514,53.57,5,-58316.00,0.35,0.03,0.21,0.4226,2.45,488260.00,-274500.00,29,40,3,6,95390.00,-15910.00,16836.55,-6862.50,51,19,1.78
6,25,1.8,212330.00,20109.09,41.80,1740.41,122,-53570.00,8.60,0.2675,0.38,0.7505,240.37,5,-40338.00,0.50,0.03,0.11,0.5576,2.37,514590.00,-302260.00,51,71,4,6,52890.00,-11410.00,10090.00,-4257.18,18,9,1.70
7,5,1.2,205210.00,19434.78,38.38,722.57,284,-103830.00,4.38,0.2763,0.19,0.7888,67.17,5,-59094.00,0.33,0.05,0.21,0.4508,2.07,912460.00,-707250.00,109,175,7,8,33190.00,-39960.00,8371.19,-4041.43,13,5,1.29
8,26,1.8,201190.00,19054.06,41.32,1662.73,121,-54870.00,7.64,0.2513,0.35,0.7290,210.76,5,-39790.00,0.48,0.03,0.11,0.5257,2.35,507500.00,-306310.00,50,71,4,6,52890.00,-11410.00,10150.00,-4314.23,18,9,1.66
9,4,1.5,197100.00,18666.71,43.64,895.91,220,-93950.00,4.06,0.2955,0.20,0.9497,93.92,5,-56582.00,0.33,0.04,0.19,0.4036,1.70,824840.00,-627740.00,96,124,5,7,50190.00,-23210.00,8592.08,-5062.42,16,6,1.31
10,4,1.3,193490.00,18324.82,41.70,713.99,271,-82280.00,4.12,0.3026,0.22,0.9204,117.30,5,-59962.00,0.31,0.04,0.16,0.3758,1.79,876870.00,-683380.00,113,158,6,10,35440.00,-23210.00,7759.91,-4325.19,13,5,1.28
11,23,3.5,192770.00,18256.63,44.12,2834.85,68,-116770.00,4.63,0.2845,0.16,0.6008,35.55,5,-62468.00,0.29,0.03,0.23,0.3708,2.13,475650.00,-282880.00,30,38,4,6,95390.00,-16610.00,15855.00,-7444.21,50,20,1.68
12,6,1.5,188590.00,17860.76,44.44,873.10,216,-74370.00,4.00,0.2885,0.24,0.9280,140.02,5,-52394.00,0.34,0.05,0.15,0.3845,1.64,789090.00,-600500.00,96,120,3,7,50190.00,-39960.00,8219.69,-5004.17,16,6,1.31
