#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,2,0.5,102490.00,132.88,197.20,19433.17,31050.00,62.59,42.70,364.73,281,-51140.00,5.88,0.2671,0.38,0.7685,9.39,5,-27488.00,0.71,0.12,0.51,0.7365,1.72,466100.00,248720.00,217380.00,-363610.00,-207460.00,-156150.00,120,161,8,9,22590.00,-12310.00,3884.17,-2258.45,6,2,1.28
2,6,1.5,93280.00,86.51,213.91,17686.86,31050.00,56.96,47.13,1072.18,87,-35920.00,9.55,0.2880,0.49,0.9164,16.77,5,-26800.00,0.66,0.12,0.36,0.6794,1.74,262090.00,104630.00,157460.00,-168810.00,-77770.00,-91040.00,41,46,3,4,23640.00,-12510.00,6392.44,-3669.78,20,7,1.55
3,5,1.5,84010.00,71.21,199.36,15929.17,31050.00,51.30,46.07,943.93,89,-36540.00,7.72,0.2410,0.44,0.8827,15.04,5,-22278.00,0.72,0.12,0.36,0.5975,1.74,257340.00,99880.00,157460.00,-173330.00,-77770.00,-95560.00,41,48,3,4,18890.00,-12460.00,6276.59,-3611.04,20,7,1.48
4,64,3.4,83540.00,106.51,162.54,15840.05,31050.00,51.01,47.62,3978.10,21,-36130.00,15.41,0.2879,0.44,0.8207,30.21,5,-24046.00,0.66,0.09,0.36,0.7016,3.01,131700.00,68810.00,62890.00,-48160.00,-35740.00,-12420.00,10,11,3,3,36290.00,-12460.00,13170.00,-4378.18,57,30,2.73
5,62,3.4,81890.00,101.19,162.54,15527.19,31050.00,50.01,47.62,3899.52,21,-36130.00,14.99,0.2788,0.43,0.8165,29.98,5,-24376.00,0.64,0.09,0.36,0.6849,2.97,130050.00,67160.00,62890.00,-48160.00,-35740.00,-12420.00,10,11,3,3,36290.00,-12460.00,13005.00,-4378.18,57,30,2.70
6,63,3.4,81890.00,101.19,162.54,15527.19,31050.00,50.01,47.62,3899.52,21,-36130.00,14.99,0.2788,0.43,0.8165,29.98,5,-24376.00,0.64,0.09,0.36,0.6849,2.97,130050.00,67160.00,62890.00,-48160.00,-35740.00,-12420.00,10,11,3,3,36290.00,-12460.00,13005.00,-4378.18,57,30,2.70
7,62,3.3,81690.00,89.79,173.30,15489.27,31050.00,49.88,52.38,3890.00,21,-36130.00,15.33,0.2674,0.43,0.8035,30.73,5,-24844.00,0.62,0.09,0.36,0.6865,2.20,139240.00,67160.00,72080.00,-57550.00,-39280.00,-18270.00,11,10,3,2,36290.00,-12460.00,12658.18,-5755.00,59,22,2.42
8,7,1.5,80980.00,67.60,193.20,15354.65,31050.00,49.45,45.98,930.80,87,-35920.00,7.12,0.2449,0.43,0.8919,14.39,5,-28116.00,0.55,0.12,0.36,0.5990,1.71,258700.00,112390.00,146310.00,-177720.00,-91400.00,-86320.00,40,47,3,4,23640.00,-12510.00,6467.50,-3781.28,20,7,1.46
9,11,1.2,80160.00,38.26,219.90,15199.17,31050.00,48.95,35.35,809.70,99,-44490.00,5.00,0.1973,0.34,0.6055,10.22,5,-32678.00,0.47,0.09,0.44,0.6454,2.57,277350.00,107280.00,170070.00,-197190.00,-95400.00,-101790.00,35,64,5,11,22690.00,-11010.00,7924.29,-3081.09,17,5,1.41
10,3,0.9,76860.00,93.46,154.07,14573.45,31050.00,46.94,40.23,441.72,174,-51680.00,4.03,0.4079,0.28,0.7960,8.60,5,-28118.00,0.52,0.12,0.52,0.6330,1.89,359750.00,177650.00,182100.00,-282890.00,-148630.00,-134260.00,70,104,6,11,22540.00,-8910.00,5139.29,-2720.10,10,4,1.27
11,61,5.4,76030.00,45.99,198.87,14416.08,31050.00,46.43,58.33,6335.83,12,-46120.00,17.82,0.1402,0.31,0.5015,38.39,5,-33382.00,0.43,0.11,0.46,0.5522,2.09,115530.00,15940.00,99590.00,-39500.00,-1660.00,-37840.00,7,5,3,3,28440.00,-16510.00,16504.29,-7900.00,115,60,2.92
12,62,5.4,76030.00,45.99,198.87,14416.08,31050.00,46.43,58.33,6335.83,12,-46120.00,17.82,0.1402,0.31,0.5015,38.39,5,-33382.00,0.43,0.11,0.46,0.5522,2.09,115530.00,15940.00,99590.00,-39500.00,-1660.00,-37840.00,7,5,3,3,28440.00,-16510.00,16504.29,-7900.00,115,60,2.92
13,60,5.4,75730.00,45.99,197.91,14359.19,31050.00,46.25,58.33,6310.83,12,-46120.00,17.73,0.1395,0.31,0.5004,38.34,5,-33382.00,0.43,0.11,0.46,0.5502,2.08,115230.00,15940.00,99290.00,-39500.00,-1660.00,-37840.00,7,5,3,3,28140.00,-16510.00,16461.43,-7900.00,115,60,2.92
14,2,0.9,75180.00,89.15,152.98,14254.91,31050.00,45.91,42.44,437.09,172,-44840.00,4.11,0.3558,0.32,0.8116,8.94,5,-28404.00,0.50,0.12,0.45,0.5988,1.72,356720.00,183630.00,173090.00,-281540.00,-155950.00,-125590.00,73,99,6,11,22540.00,-8910.00,4886.58,-2843.84,10,4,1.27
15,5,1.3,73030.00,76.59,158.62,13847.25,31050.00,44.60,39.29,652.05,112,-62050.00,4.41,0.2027,0.22,0.6059,9.88,5,-26794.00,0.52,0.12,0.61,0.5516,2.06,290310.00,117990.00,172320.00,-217280.00,-94210.00,-123070.00,44,68,4,8,20840.00,-10110.00,6597.95,-3195.29,17,6,1.34
