#,P:nPeriodBreak,P:nATRExit,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,9,5,37330.00,4031.20,57.61,405.76,92,-5770.00,11.68,1.3545,0.70,0.8377,4544.89,5,-4832.00,0.83,0.00,0.01,0.5862,1.49,73700.00,-36370.00,53,39,8,4,5440.00,-2680.00,1390.57,-932.56,25,17,2.03
2,9,5.1,36320.00,3922.13,56.52,394.78,92,-6570.00,11.09,1.3270,0.60,0.8307,3382.46,5,-4956.00,0.79,0.00,0.01,0.5623,1.53,73100.00,-36780.00,52,40,8,4,5440.00,-2680.00,1405.77,-919.50,25,17,1.99
3,9,5.2,35500.00,3833.58,56.52,385.87,92,-6570.00,10.57,1.3157,0.58,0.8227,3274.27,5,-5026.00,0.76,0.00,0.01,0.5586,1.50,72620.00,-37120.00,52,40,8,4,5440.00,-2680.00,1396.54,-928.00,25,18,1.96
4,9,5.3,33680.00,3637.04,55.43,366.09,92,-6570.00,9.12,1.2361,0.55,0.8161,3081.11,5,-5344.00,0.68,0.00,0.01,0.5139,1.50,72600.00,-38920.00,51,41,8,5,5440.00,-2680.00,1423.53,-949.27,25,18,1.87
5,9,4.9,33660.00,3634.88,56.99,361.94,93,-5770.00,9.24,1.2654,0.63,0.8104,3967.44,5,-4832.00,0.75,0.00,0.01,0.5527,1.41,72310.00,-38650.00,53,40,8,4,5440.00,-2680.00,1364.34,-966.25,25,17,1.87
6,10,4.7,33450.00,3612.20,58.24,367.58,91,-6980.00,9.20,1.3059,0.52,0.8119,2695.53,5,-4942.00,0.73,0.00,0.01,0.6442,1.35,71240.00,-37790.00,53,38,8,4,5440.00,-2070.00,1344.15,-994.47,25,16,1.89
7,9,7.3,33430.00,3610.04,58.33,397.98,84,-9540.00,8.50,1.1936,0.38,0.7441,1315.47,5,-5504.00,0.66,0.00,0.02,0.7985,1.35,71150.00,-37720.00,49,35,10,5,5440.00,-3120.00,1452.04,-1077.71,26,21,1.89
8,9,4.8,33150.00,3579.81,55.21,345.31,96,-6050.00,8.55,1.2847,0.59,0.7918,3478.76,5,-4588.00,0.78,0.00,0.01,0.5921,1.47,74250.00,-41100.00,53,43,8,4,5440.00,-2330.00,1400.94,-955.81,24,16,1.81
9,9,6,32940.00,3557.13,54.02,378.62,87,-9050.00,9.46,1.2090,0.39,0.8056,1562.66,5,-5836.00,0.61,0.00,0.02,0.5217,1.63,68900.00,-35960.00,47,40,8,5,5440.00,-2680.00,1465.96,-899.00,27,18,1.92
10,10,5,32420.00,3500.98,59.55,364.27,89,-7620.00,8.60,1.2099,0.46,0.8113,2187.75,5,-5068.00,0.69,0.00,0.02,0.5771,1.27,69890.00,-37470.00,53,36,8,4,5440.00,-2680.00,1318.68,-1040.83,26,17,1.87
11,9,7.4,32300.00,3488.02,58.33,384.52,84,-10670.00,7.85,1.1534,0.33,0.7270,992.69,5,-5506.00,0.63,0.00,0.02,0.7836,1.32,70690.00,-38390.00,49,35,10,5,5440.00,-3120.00,1442.65,-1096.86,26,21,1.84
