#,P:nPeriodBreak,P:nATRExit,净利润,多头收益率%,空头收益率%,年化收益,最大使用资金,年化收益率%,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,多头总盈利,空头总盈利,总亏损,多头总亏损,空头总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
1*,9,4.8,173320.00,254.81,303.38,32863.27,31050.00,105.84,68.75,3610.83,48,-36780.00,45.35,0.5269,0.89,0.9611,42.85,5,-29124.00,1.13,0.08,0.37,1.3187,1.21,278070.00,127760.00,150310.00,-104750.00,-48640.00,-56110.00,33,15,7,3,33390.00,-15060.00,8426.36,-6983.33,26,18,2.65
2,9,4.7,171910.00,256.71,296.94,32595.92,31050.00,104.98,69.39,3508.37,49,-35890.00,43.88,0.5247,0.91,0.9615,41.80,5,-28946.00,1.13,0.08,0.36,1.3062,1.11,285360.00,136200.00,149160.00,-113450.00,-56490.00,-56960.00,34,15,7,2,33390.00,-15360.00,8392.94,-7563.33,26,16,2.52
3,9,4.9,162870.00,242.09,282.45,30881.84,31050.00,99.46,68.75,3393.13,48,-42580.00,40.09,0.4943,0.73,0.9512,40.31,5,-31014.00,1.00,0.08,0.42,1.2273,1.10,277770.00,127760.00,150010.00,-114900.00,-52590.00,-62310.00,33,15,7,3,33390.00,-20310.00,8417.27,-7660.00,26,19,2.42
4,9,5,145260.00,209.15,258.68,27542.81,31050.00,88.70,67.35,2964.49,49,-34340.00,32.93,0.4115,0.80,0.9708,37.12,5,-27494.00,1.00,0.08,0.34,1.0942,1.08,263520.00,144400.00,119120.00,-118260.00,-79460.00,-38800.00,33,16,7,2,22840.00,-15310.00,7985.45,-7391.25,26,18,2.23
5,9,5.1,145260.00,209.15,258.68,27542.81,31050.00,88.70,67.35,2964.49,49,-34340.00,32.93,0.4115,0.80,0.9708,37.12,5,-27494.00,1.00,0.08,0.34,1.0942,1.08,263520.00,144400.00,119120.00,-118260.00,-79460.00,-38800.00,33,16,7,2,22840.00,-15310.00,7985.45,-7391.25,26,18,2.23
6,10,4.7,143010.00,221.61,238.97,27116.18,31050.00,87.33,69.39,2918.57,49,-35890.00,33.56,0.4220,0.76,0.9588,38.43,5,-28466.00,0.95,0.08,0.36,1.0880,0.99,258210.00,136460.00,121750.00,-115200.00,-67650.00,-47550.00,34,15,7,2,35490.00,-15360.00,7594.41,-7680.00,25,16,2.24
7,10,4.8,142120.00,216.01,241.71,26947.43,31050.00,86.79,68.75,2960.83,48,-36780.00,33.95,0.4179,0.73,0.9552,39.12,5,-28644.00,0.94,0.08,0.37,1.0826,1.05,249770.00,128020.00,121750.00,-107650.00,-60950.00,-46700.00,33,15,7,3,35490.00,-15060.00,7568.79,-7176.67,25,18,2.32
8,10,5,140610.00,216.26,236.59,26661.12,31050.00,85.87,69.39,2869.59,49,-34080.00,33.03,0.4192,0.78,0.9668,38.47,5,-27400.00,0.97,0.08,0.34,1.0670,0.99,253610.00,147560.00,106050.00,-113000.00,-80410.00,-32590.00,34,15,7,2,35490.00,-15310.00,7459.12,-7533.33,25,18,2.24
9,10,5.1,140610.00,216.26,236.59,26661.12,31050.00,85.87,69.39,2869.59,49,-34080.00,33.03,0.4192,0.78,0.9668,38.47,5,-27400.00,0.97,0.08,0.34,1.0670,0.99,253610.00,147560.00,106050.00,-113000.00,-80410.00,-32590.00,34,15,7,2,35490.00,-15310.00,7459.12,-7533.33,25,18,2.24
10,4,4.6,135870.00,177.65,259.94,25762.36,31050.00,82.97,51.72,2342.59,58,-40780.00,21.00,0.5350,0.63,0.8390,25.31,5,-30998.00,0.83,0.08,0.40,1.0432,1.83,277650.00,143150.00,134500.00,-141780.00,-87990.00,-53790.00,30,28,4,5,33390.00,-13810.00,9255.00,-5063.57,24,17,1.96
11,10,4.9,132270.00,204.25,221.74,25079.77,31050.00,80.77,68.75,2755.63,48,-42580.00,29.41,0.3879,0.59,0.9390,36.41,5,-30534.00,0.82,0.08,0.42,0.9978,0.97,249770.00,128020.00,121750.00,-117500.00,-64600.00,-52900.00,33,15,7,3,35490.00,-20310.00,7568.79,-7833.33,25,19,2.13
12,9,5.2,130180.00,149.95,269.31,24683.48,31050.00,79.50,68.09,2769.79,47,-39870.00,28.14,0.3781,0.62,0.9180,35.40,5,-30084.00,0.82,0.09,0.39,1.0123,0.98,250380.00,135110.00,115270.00,-120200.00,-88550.00,-31650.00,32,15,7,2,33390.00,-15960.00,7824.38,-8013.33,27,19,2.08
13,9,5.3,130180.00,149.95,269.31,24683.48,31050.00,79.50,68.09,2769.79,47,-39870.00,28.14,0.3781,0.62,0.9180,35.40,5,-30084.00,0.82,0.09,0.39,1.0123,0.98,250380.00,135110.00,115270.00,-120200.00,-88550.00,-31650.00,32,15,7,2,33390.00,-15960.00,7824.38,-8013.33,27,19,2.08
14,8,4.3,129790.00,146.54,271.47,24609.53,31050.00,79.26,57.14,2317.68,56,-43010.00,21.18,0.4330,0.57,0.8896,26.72,5,-29586.00,0.83,0.08,0.43,0.9993,1.41,277580.00,138900.00,138680.00,-147790.00,-93400.00,-54390.00,32,24,5,4,33390.00,-15360.00,8674.38,-6157.92,25,15,1.88
15,9,5.4,129730.00,149.95,267.86,24598.16,31050.00,79.22,68.09,2760.21,47,-39870.00,27.95,0.3779,0.62,0.9178,35.28,5,-30084.00,0.82,0.09,0.39,1.0070,0.97,250380.00,135110.00,115270.00,-120650.00,-88550.00,-32100.00,32,15,7,2,33390.00,-15960.00,7824.38,-8043.33,27,20,2.08
16,9,5.5,129730.00,149.95,267.86,24598.16,31050.00,79.22,68.09,2760.21,47,-39870.00,27.95,0.3779,0.62,0.9178,35.28,5,-30084.00,0.82,0.09,0.39,1.0070,0.97,250380.00,135110.00,115270.00,-120650.00,-88550.00,-32100.00,32,15,7,2,33390.00,-15960.00,7824.38,-8043.33,27,20,2.08
