#,P:nPeriodBreak,P:nATRExit,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
3554,13,2.1,52480.00,4196.10,36.62,369.58,142,-51510.00,2.12,0.1700,0.08,0.6683,48.46,5,-24226.00,0.17,0.01,0.10,0.2139,2.23,235060.00,-182580.00,52,90,5,10,17130.00,-9310.00,4520.38,-2028.67,30,12,1.29
3555,48,3.5,52480.00,4196.10,39.29,937.14,56,-56630.00,2.13,0.2066,0.07,0.7748,43.97,5,-19428.00,0.22,0.01,0.11,0.2751,2.30,160200.00,-107720.00,22,34,4,4,28790.00,-16470.00,7281.82,-3168.24,65,27,1.49
3556,17,1.2,52460.00,4194.50,38.29,236.31,222,-59940.00,2.64,0.0071,0.07,0.0009,0.05,5,-21288.00,0.20,0.01,0.12,0.2443,2.02,261610.00,-209150.00,85,137,4,10,23490.00,-6430.00,3077.76,-1526.64,14,5,1.25
3557,52,2.3,52440.00,4192.90,37.21,609.77,86,-32750.00,2.87,0.1321,0.13,0.3854,67.31,5,-22066.00,0.19,0.01,0.07,0.2277,2.46,167340.00,-114900.00,32,54,4,17,16490.00,-8650.00,5229.38,-2127.78,30,14,1.46
3558,72,1.1,52440.00,4192.90,40.48,416.19,126,-26540.00,4.79,0.0839,0.16,0.3051,82.82,5,-15184.00,0.28,0.01,0.05,0.3273,2.18,160750.00,-108310.00,51,75,4,12,23490.00,-5850.00,3151.96,-1444.13,13,4,1.48
3559,52,5.1,52420.00,4191.30,37.50,1638.13,32,-65090.00,1.23,0.1282,0.06,0.3442,14.04,5,-17972.00,0.23,0.01,0.13,0.4071,2.49,158260.00,-105840.00,12,20,2,7,37290.00,-19610.00,13188.33,-5292.00,167,33,1.50
3560,40,2,52340.00,4184.91,43.14,513.14,102,-35770.00,2.99,0.1576,0.12,0.4431,65.36,5,-19748.00,0.21,0.01,0.07,0.1878,1.86,179700.00,-127360.00,44,58,4,7,16090.00,-13930.00,4084.09,-2195.86,27,11,1.41
3561,22,3.2,52330.00,4184.11,35.29,615.65,85,-41750.00,1.96,0.0826,0.10,0.1245,13.34,5,-22870.00,0.18,0.01,0.08,0.1211,2.51,193100.00,-140770.00,30,55,3,5,57350.00,-9110.00,6436.67,-2559.45,51,22,1.37
3562,21,2.9,52320.00,4183.31,42.22,581.33,90,-43330.00,2.22,0.1456,0.10,0.5699,56.85,5,-21444.00,0.20,0.01,0.09,0.2644,1.88,192640.00,-140320.00,38,52,4,7,41570.00,-10710.00,5069.47,-2698.46,44,20,1.37
3563,63,4.6,52300.00,4181.71,35.29,1538.24,34,-62770.00,1.25,0.1758,0.07,0.7215,31.76,5,-19408.00,0.22,0.01,0.13,0.3570,2.73,159040.00,-106740.00,12,22,3,8,37290.00,-19610.00,13253.33,-4851.82,152,26,1.49
