
20181203  AL | nATRExit: 4.5 | nPeriodBreak: 70 | nATR: 15

20090218  AL ：开多 | Bar序号：1
20070122  CF ：平多 | Bar序号：242

20070301  CF ：开多 | Bar序号：265

20070327  CF ：平多开空 | Bar序号：283

20070611  CF ：平空 | Bar序号：332

20070709  CF ：开多 | Bar序号：352

20070820  CF ：平多 | Bar序号：382

20070911  CF ：开多 | Bar序号：398

20071206  CF ：平多 | Bar序号：455

20080304  CF ：开空 | Bar序号：511

20081223  CF ：平空 | Bar序号：711

20090324  CF ：开空 | Bar序号：769

20090408  CF ：平空开多 | Bar序号：779

20090609  CF ：平多 | Bar序号：820

20090715  CF ：开空 | Bar序号：846

20090925  CF ：平空 | Bar序号：898

20091012  CF ：开多 | Bar序号：903

20100121  CF ：平多 | Bar序号：975

20100429  CF ：开多 | Bar序号：1039

20100608  CF ：平多开多 | Bar序号：1066

20101118  CF ：平多 | Bar序号：1169

20110209  CF ：开空 | Bar序号：1222

20111219  CF ：平空 | Bar序号：1435

20120106  CF ：开空 | Bar序号：1447

20120201  CF ：平空开多 | Bar序号：1460

20120217  CF ：平多 | Bar序号：1472

20120406  CF ：开多 | Bar序号：1504

20120510  CF ：平多开空 | Bar序号：1526

20130121  CF ：平空 | Bar序号：1699

20130124  CF ：开多 | Bar序号：1702

20131119  CF ：平多开空 | Bar序号：1895

20131227  CF ：平空开空 | Bar序号：1923

20140103  CF ：平空开多 | Bar序号：1927

20140303  CF ：平多 | Bar序号：1963

20140326  CF ：开多 | Bar序号：1980

20140604  CF ：平多开空 | Bar序号：2026

20141231  CF ：平空 | Bar序号：2170

20150227  CF ：开多 | Bar序号：2205

20150402  CF ：平多开多 | Bar序号：2229

20150616  CF ：平多开空 | Bar序号：2280

20160412  CF ：平空 | Bar序号：2478

20160413  CF ：开多 | Bar序号：2479

20170322  CF ：平多 | Bar序号：2706

20170331  CF ：开空 | Bar序号：2713

20170906  CF ：平空开空 | Bar序号：2821

20180521  CF ：平空 | Bar序号：2988

20180522  CF ：开空 | Bar序号：2989

20181203  L | nATRExit: 4.1 | nPeriodBreak: 30 | nATR: 15

20090114  L ：开多 | Bar序号：1

20090218  L ：平多 | Bar序号：21

20090219  L ：开空 | Bar序号：22

20090324  L ：平空开多 | Bar序号：45

20090511  L ：开多 | Bar序号：77

20090902  L ：平多 | Bar序号：157

20090903  L ：开空 | Bar序号：158

20091013  L ：平空 | Bar序号：180

20091021  L ：开多 | Bar序号：186

20091208  L ：平多 | Bar序号：220

20100104  L ：开多 | Bar序号：238

20100114  L ：平多 | Bar序号：246

20100128  L ：开空 | Bar序号：256

20100802  L ：平空开多 | Bar序号：378

20101116  L ：平多 | Bar序号：446

20101118  L ：开空 | Bar序号：448

20110705  L ：平空开多 | Bar序号：601

20110808  L ：平多 | Bar序号：625

20110810  L ：开空 | Bar序号：627

20120119  L ：平空开多 | Bar序号：735

20120412  L ：平多开空 | Bar序号：787

20120703  L ：平空 | Bar序号：842

20120704  L ：开多 | Bar序号：843

20120726  L ：平多 | Bar序号：859

20120904  L ：开多 | Bar序号：887

20121016  L ：平多 | Bar序号：912

20121030  L ：开空 | Bar序号：922

20121204  L ：平空开多 | Bar序号：947

20130222  L ：平多 | Bar序号：997

20130305  L ：开空 | Bar序号：1004

20130523  L ：平空开多 | Bar序号：1056

20131225  L ：平多 | Bar序号：1200

20140108  L ：开空 | Bar序号：1209

20140327  L ：平空开多 | Bar序号：1260

20140806  L ：平多开空 | Bar序号：1349

20150209  L ：平空开多 | Bar序号：1474

20150519  L ：平多 | Bar序号：1538

20150520  L ：开空 | Bar序号：1539

20151202  L ：平空 | Bar序号：1669

20151221  L ：开多 | Bar序号：1682

20170224  L ：平多 | Bar序号：1966

20170301  L ：开空 | Bar序号：1969

20170522  L ：平空 | Bar序号：2024

20170714  L ：开多 | Bar序号：2061

20170920  L ：平多 | Bar序号：2109

20171009  L ：开空 | Bar序号：2116

20180111  L ：平空开多 | Bar序号：2183

20180212  L ：平多开空 | Bar序号：2205

20180725  L ：平空开多 | Bar序号：2312

20180904  L ：平多开空 | Bar序号：2341

20181010  L ：平空开多 | Bar序号：2361

20181026  L ：平多 | Bar序号：2373

20181029  L ：开空 | Bar序号：2374

20181203  IF | nATRExit: 3.6 | nPeriodBreak: 17 | nATR: 15

20100419  IF ：开多 | Bar序号：1

20100430  IF ：平多开空 | Bar序号：10

20100721  IF ：开多 | Bar序号：64

20101117  IF ：平多开空 | Bar序号：141

20110215  IF ：平空开多 | Bar序号：199

20110429  IF ：平多开空 | Bar序号：250

20110627  IF ：平空开多 | Bar序号：289

20110726  IF ：平多开空 | Bar序号：310

20111103  IF ：平空开多 | Bar序号：376

20111201  IF ：平多开空 | Bar序号：396

20120120  IF ：平空开多 | Bar序号：430

20120329  IF ：平多开空 | Bar序号：474

20120419  IF ：平空开多 | Bar序号：486

20120517  IF ：平多开空 | Bar序号：504

20120910  IF ：平空 | Bar序号：585

20120927  IF ：开空 | Bar序号：598

20121210  IF ：平空开多 | Bar序号：645

20130222  IF ：平多 | Bar序号：691

20130227  IF ：开空 | Bar序号：694

20130529  IF ：平空开多 | Bar序号：754

20130613  IF ：平多开空 | Bar序号：762

20130813  IF ：平空开多 | Bar序号：805

20131111  IF ：平多开空 | Bar序号：862

20131129  IF ：平空开多 | Bar序号：876

20131223  IF ：平多开空 | Bar序号：892

20140409  IF ：平空开多 | Bar序号：962

20140508  IF ：平多开空 | Bar序号：981

20140725  IF ：平空开多 | Bar序号：1036

20150623  IF ：平多开空 | Bar序号：1258

20151013  IF ：平空开多 | Bar序号：1331

20160105  IF ：平多开空 | Bar序号：1390

20160308  IF ：平空开多 | Bar序号：1430

20161213  IF ：平多开空 | Bar序号：1619

20170214  IF ：平空开多 | Bar序号：1658

20170508  IF ：平多开空 | Bar序号：1714

20170526  IF ：平空开多 | Bar序号：1728

20171128  IF ：平多 | Bar序号：1853

20171201  IF ：开空 | Bar序号：1856

20180110  IF ：平空开多 | Bar序号：1883

20180202  IF ：平多 | Bar序号：1900

20180207  IF ：开空 | Bar序号：1903

20180227  IF ：平空 | Bar序号：1912

20180313  IF ：开多 | Bar序号：1922

20180326  IF ：平多开空 | Bar序号：1931

20180925  IF ：平空开多 | Bar序号：2056

20181012  IF ：平多开空 | Bar序号：2064

20181203  MA | nATRExit: 1.8 | nPeriodBreak: 6 | nATR: 15

20111111  MA ：开多 | Bar序号：1

20111121  MA ：平多开空 | Bar序号：7

20111227  MA ：平空开空 | Bar序号：33

20111229  MA ：平空开多 | Bar序号：35

20120210  MA ：平多开空 | Bar序号：59

20120301  MA ：平空开多 | Bar序号：73

20120319  MA ：平多开空 | Bar序号：85

20120413  MA ：平空开多 | Bar序号：101

20120508  MA ：平多开空 | Bar序号：116

20120514  MA ：平空开空 | Bar序号：120

20120621  MA ：平空开多 | Bar序号：148

20120713  MA ：平多 | Bar序号：163

20120718  MA ：开多 | Bar序号：166

20120724  MA ：平多开空 | Bar序号：170

20120731  MA ：平空开多 | Bar序号：175

20120815  MA ：平多 | Bar序号：186

20120816  MA ：开空 | Bar序号：187

20120910  MA ：平空开多 | Bar序号：204

20121010  MA ：平多开空 | Bar序号：221

20121203  MA ：平空开多 | Bar序号：259

20121224  MA ：平多开空 | Bar序号：274

20130107  MA ：平空开多 | Bar序号：281

20130117  MA ：平多开空 | Bar序号：289

20130121  MA ：平空开多 | Bar序号：291

20130222  MA ：平多开空 | Bar序号：310

20130321  MA ：平空开多 | Bar序号：329

20130401  MA ：平多开空 | Bar序号：336

20130507  MA ：平空开多 | Bar序号：357

20130517  MA ：平多开空 | Bar序号：365

20130702  MA ：平空 | Bar序号：394

20130704  MA ：开多 | Bar序号：396

20130808  MA ：平多开空 | Bar序号：421

20130816  MA ：平空开多 | Bar序号：427

20130826  MA ：平多开空 | Bar序号：433

20130912  MA ：平空开多 | Bar序号：446

20131008  MA ：平多开空 | Bar序号：457

20131030  MA ：平空开多 | Bar序号：473

20131213  MA ：平多 | Bar序号：505

20131217  MA ：开空 | Bar序号：507

20140114  MA ：平空开多 | Bar序号：526

20140221  MA ：平多开空 | Bar序号：549

20140326  MA ：平空开多 | Bar序号：572

20140415  MA ：平多开空 | Bar序号：585

20140425  MA ：平空开多 | Bar序号：593

20140507  MA ：平多开空 | Bar序号：599

20140613  MA ：平空开多 | Bar序号：625

20140703  MA ：平多开空 | Bar序号：639

20140725  MA ：平空 | Bar序号：655

20140728  MA ：开多 | Bar序号：656

20140826  MA ：平多开空 | Bar序号：677

20140917  MA ：平空开多 | Bar序号：692

20140925  MA ：平多 | Bar序号：698

20141009  MA ：开空 | Bar序号：703

20141113  MA ：平空开多 | Bar序号：728

20141209  MA ：平多开空 | Bar序号：746

20150119  MA ：平空 | Bar序号：773

20150120  MA ：开多 | Bar序号：774

20150306  MA ：平多开多 | Bar序号：802

20150319  MA ：平多开空 | Bar序号：811

20150403  MA ：平空开多 | Bar序号：822

20150508  MA ：平多开空 | Bar序号：845

20150611  MA ：平空开多 | Bar序号：869

20150701  MA ：平多 | Bar序号：882

20150702  MA ：开空 | Bar序号：883

20150812  MA ：平空开多 | Bar序号：911

20150826  MA ：平多开空 | Bar序号：920

20150925  MA ：平空 | Bar序号：940

20150929  MA ：开空 | Bar序号：942

20151009  MA ：平空 | Bar序号：945

20151012  MA ：开多 | Bar序号：946

20151021  MA ：平多开空 | Bar序号：953

20151110  MA ：平空 | Bar序号：967

20151112  MA ：开空 | Bar序号：969

20151203  MA ：平空 | Bar序号：984

20151204  MA ：开空 | Bar序号：985

20151222  MA ：平空开多 | Bar序号：997

20160112  MA ：平多 | Bar序号：1011

20160113  MA ：开空 | Bar序号：1012

20160125  MA ：平空 | Bar序号：1020

20160126  MA ：开空 | Bar序号：1021

20160216  MA ：平空开多 | Bar序号：1031

20160226  MA ：平多开空 | Bar序号：1039

