
20170928  黄金1712 | nATRExit: 2.3 | FastLength: 10 | SlowLength: 15 | nATR: 15

20130814  黄金1712 ：平空 | Bar序号：1349

20130819  黄金1712 ：开多 | Bar序号：1352

20130912  黄金1712 ：平多开空 | Bar序号：1370

20131024  黄金1712 ：平空 | Bar序号：1393

20131029  黄金1712 ：开多 | Bar序号：1396

20131112  黄金1712 ：平多 | Bar序号：1406

20131219  黄金1712 ：开多 | Bar序号：1433

20140325  黄金1712 ：平多 | Bar序号：1495

20140328  黄金1712 ：开空 | Bar序号：1498

20140415  黄金1712 ：平空 | Bar序号：1509

20140416  黄金1712 ：开多 | Bar序号：1510

20140529  黄金1712 ：平多 | Bar序号：1539

20140619  黄金1712 ：开多 | Bar序号：1553

20140716  黄金1712 ：平多 | Bar序号：1572

20140717  黄金1712 ：开空 | Bar序号：1573

20141022  黄金1712 ：平空 | Bar序号：1636

20141031  黄金1712 ：开空 | Bar序号：1643

20141111  黄金1712 ：平空 | Bar序号：1650

20141121  黄金1712 ：开多 | Bar序号：1658

20150210  黄金1712 ：平多 | Bar序号：1713

20150330  黄金1712 ：开多 | Bar序号：1742

20150528  黄金1712 ：平多 | Bar序号：1783

20150602  黄金1712 ：开空 | Bar序号：1786

20150813  黄金1712 ：平空开多 | Bar序号：1836

20150911  黄金1712 ：平多开空 | Bar序号：1854

20150928  黄金1712 ：平空开多 | Bar序号：1865

20151008  黄金1712 ：平多 | Bar序号：1868

20151102  黄金1712 ：开空 | Bar序号：1885

20151208  黄金1712 ：平空 | Bar序号：1911

20151214  黄金1712 ：开多 | Bar序号：1915

20160325  黄金1712 ：平多 | Bar序号：1983

20160413  黄金1712 ：开多 | Bar序号：1995

20160524  黄金1712 ：平多开空 | Bar序号：2021

20160608  黄金1712 ：平空 | Bar序号：2032

20160615  黄金1712 ：开多 | Bar序号：2035

20160623  黄金1712 ：平多 | Bar序号：2041

20160722  黄金1712 ：开空 | Bar序号：2062

20160804  黄金1712 ：平空 | Bar序号：2071

20160805  黄金1712 ：开多 | Bar序号：2072

20160826  黄金1712 ：平多 | Bar序号：2087

20160913  黄金1712 ：开多 | Bar序号：2099

20161011  黄金1712 ：平多 | Bar序号：2112

20161028  黄金1712 ：开多 | Bar序号：2125

20161114  黄金1712 ：平多 | Bar序号：2136

20161117  黄金1712 ：开空 | Bar序号：2139

20170103  黄金1712 ：平空 | Bar序号：2171

20170105  黄金1712 ：开多 | Bar序号：2173

20170203  黄金1712 ：平多 | Bar序号：2189

20170207  黄金1712 ：开空 | Bar序号：2191

20170228  黄金1712 ：平空 | Bar序号：2206

20170313  黄金1712 ：开空 | Bar序号：2215

20170317  黄金1712 ：平空 | Bar序号：2219

20170324  黄金1712 ：开多 | Bar序号：2224

20170503  黄金1712 ：平多 | Bar序号：2249

20170524  黄金1712 ：开多 | Bar序号：2264

20170613  黄金1712 ：平多 | Bar序号：2276

20170614  黄金1712 ：开空 | Bar序号：2277

20170719  黄金1712 ：平空 | Bar序号：2302

20170725  黄金1712 ：开多 | Bar序号：2306

20170922  黄金1712 ：平多 | Bar序号：2349

20170928  豆粕1801 | nATRExit: 2.5 | FastLength: 10 | SlowLength: 16 | nATR: 15

20090223  豆粕1801 ：开空 | Bar序号：30

20090317  豆粕1801 ：平空开多 | Bar序号：46

20090330  豆粕1801 ：平多 | Bar序号：55

20090427  豆粕1801 ：开空 | Bar序号：74

20090505  豆粕1801 ：平空 | Bar序号：79

20090513  豆粕1801 ：开多 | Bar序号：85

20090623  豆粕1801 ：平多 | Bar序号：112

20090708  豆粕1801 ：开多 | Bar序号：123

20090818  豆粕1801 ：平多 | Bar序号：152

20090820  豆粕1801 ：开空 | Bar序号：154

20091013  豆粕1801 ：平空 | Bar序号：186

20091019  豆粕1801 ：开多 | Bar序号：190

20091130  豆粕1801 ：平多 | Bar序号：220

20091221  豆粕1801 ：开空 | Bar序号：235

20100223  豆粕1801 ：平空 | Bar序号：275

20100225  豆粕1801 ：开多 | Bar序号：277

20100315  豆粕1801 ：平多 | Bar序号：289

20100325  豆粕1801 ：开多 | Bar序号：297

20100510  豆粕1801 ：平多 | Bar序号：327

20100513  豆粕1801 ：开空 | Bar序号：330

20100622  豆粕1801 ：平空 | Bar序号：355

20100625  豆粕1801 ：开多 | Bar序号：358

20101118  豆粕1801 ：平多 | Bar序号：454

20101122  豆粕1801 ：开空 | Bar序号：456

20101224  豆粕1801 ：平空 | Bar序号：480

20110210  豆粕1801 ：开空 | Bar序号：508

20110324  豆粕1801 ：平空 | Bar序号：538

20110331  豆粕1801 ：开多 | Bar序号：543

20110415  豆粕1801 ：平多 | Bar序号：552

20110419  豆粕1801 ：开空 | Bar序号：554

20110603  豆粕1801 ：平空 | Bar序号：586

20110621  豆粕1801 ：开空 | Bar序号：597

20110714  豆粕1801 ：平空 | Bar序号：614

20110805  豆粕1801 ：开空 | Bar序号：630

20110824  豆粕1801 ：平空 | Bar序号：643

20110825  豆粕1801 ：开多 | Bar序号：644

20110914  豆粕1801 ：平多 | Bar序号：657

20110916  豆粕1801 ：开空 | Bar序号：659

20111220  豆粕1801 ：平空 | Bar序号：721

20111227  豆粕1801 ：开多 | Bar序号：726

20120116  豆粕1801 ：平多 | Bar序号：738

20120120  豆粕1801 ：开空 | Bar序号：742

20120207  豆粕1801 ：平空开多 | Bar序号：749

20120510  豆粕1801 ：平多 | Bar序号：811

20120511  豆粕1801 ：开空 | Bar序号：812

20120608  豆粕1801 ：平空 | Bar序号：832

20120803  豆粕1801 ：开空 | Bar序号：871

20120823  豆粕1801 ：平空 | Bar序号：885

20120919  豆粕1801 ：开空 | Bar序号：904

20121102  豆粕1801 ：平空开多 | Bar序号：931

20121113  豆粕1801 ：平多 | Bar序号：938

20121203  豆粕1801 ：开多 | Bar序号：952

