
20170921  沪铝1711 | nATRExit: 3.8 | nPeriodBreak: 17 | nATR: 15

20090218  沪铝1711 ：开多 | Bar序号：1

20140814  沪铜1711 ：开空 | Bar序号：1333

20140822  沪铜1711 ：平空 | Bar序号：1339

20140825  沪铜1711 ：开多 | Bar序号：1340

20140911  沪铜1711 ：平多 | Bar序号：1352

20140912  沪铜1711 ：开空 | Bar序号：1353

20141208  沪铜1711 ：平空 | Bar序号：1409

20141230  沪铜1711 ：开空 | Bar序号：1425

20150209  沪铜1711 ：平空开多 | Bar序号：1452

20150319  沪铜1711 ：平多开空 | Bar序号：1475

20150324  沪铜1711 ：平空开多 | Bar序号：1478

20150521  沪铜1711 ：平多 | Bar序号：1518

20150527  沪铜1711 ：开空 | Bar序号：1522

20150710  沪铜1711 ：平空 | Bar序号：1553

20150727  沪铜1711 ：开空 | Bar序号：1563

20150909  沪铜1711 ：平空开多 | Bar序号：1592

20150924  沪铜1711 ：平多开空 | Bar序号：1603

20151012  沪铜1711 ：平空 | Bar序号：1610

20151102  沪铜1711 ：开空 | Bar序号：1625

20151130  沪铜1711 ：平空 | Bar序号：1645

20151214  沪铜1711 ：开多 | Bar序号：1655

20160112  沪铜1711 ：平多开空 | Bar序号：1675

20160205  沪铜1711 ：平空开多 | Bar序号：1693

20160411  沪铜1711 ：平多开空 | Bar序号：1733

20160421  沪铜1711 ：平空 | Bar序号：1741

20160422  沪铜1711 ：开多 | Bar序号：1742

20160506  沪铜1711 ：平多 | Bar序号：1751

20160509  沪铜1711 ：开空 | Bar序号：1752

20160628  沪铜1711 ：平空开多 | Bar序号：1784

20160708  沪铜1711 ：平多 | Bar序号：1792

20160714  沪铜1711 ：开多 | Bar序号：1796

20160825  沪铜1711 ：平多开空 | Bar序号：1826

20160920  沪铜1711 ：平空开多 | Bar序号：1842

20161018  沪铜1711 ：平多 | Bar序号：1857

20161020  沪铜1711 ：开空 | Bar序号：1859

20161026  沪铜1711 ：平空 | Bar序号：1863

20161031  沪铜1711 ：开多 | Bar序号：1866

20161116  沪铜1711 ：平多 | Bar序号：1878

20161125  沪铜1711 ：开多 | Bar序号：1885

20161221  沪铜1711 ：平多开空 | Bar序号：1903

20170112  沪铜1711 ：平空开多 | Bar序号：1918

20170227  沪铜1711 ：平多 | Bar序号：1945

20170308  沪铜1711 ：开空 | Bar序号：1952

20170613  沪铜1711 ：平空开多 | Bar序号：2016

20170911  沪铜1711 ：平多 | Bar序号：2080

20170914  沪铜1711 ：开空 | Bar序号：2083

20170921  焦炭1801 | nATRExit: 1.8 | nPeriodBreak: 40 | nATR: 15

20110429  焦炭1801 ：开多 | Bar序号：1

20110509  焦炭1801 ：平多开空 | Bar序号：6

20110513  焦炭1801 ：平空开多 | Bar序号：10

20110524  焦炭1801 ：平多 | Bar序号：17

20110809  焦炭1801 ：开空 | Bar序号：71

20110901  焦炭1801 ：平空 | Bar序号：88

20110926  焦炭1801 ：开空 | Bar序号：104

20111028  焦炭1801 ：平空 | Bar序号：123

20111216  焦炭1801 ：开空 | Bar序号：158

20120104  焦炭1801 ：平空 | Bar序号：169

20120112  焦炭1801 ：开多 | Bar序号：175

20120216  焦炭1801 ：平多 | Bar序号：195

20120315  焦炭1801 ：开空 | Bar序号：215

20120326  焦炭1801 ：平空 | Bar序号：222

20120410  焦炭1801 ：开空 | Bar序号：230

20170921  棉花1801 | nATRExit: 2.2 | nPeriodBreak: 14 | nATR: 15

20120703  焦炭1801 ：平空 | Bar序号：287

20120723  焦炭1801 ：开空 | Bar序号：301

20060124  棉花1801 ：开多 | Bar序号：1

