2017/12/4,RU1805,平空,NaN
2017/12/4,RU1805,开多,3
2017/12/4,MA1801,开多,24
2017/12/4,AU1806,开空,6
,,,
2017/12/6,C1801,(换合约),NaN
2017/12/6,C1805,(换合约),NaN
,,,
2017/12/6,AL1801,(换合约),NaN
2017/12/6,AL1802,(换合约),NaN
,,,
2017/12/6,RM1801,(换合约),NaN
2017/12/6,RM1805,(换合约),NaN
,,,
2017/12/7,ZN1801,(换合约),NaN
2017/12/7,ZN1802,(换合约),NaN
,,,
2017/12/7,CU1801,(换合约),NaN
2017/12/7,CU1802,(换合约),NaN
,,,
2017/12/7,J1805,平多,NaN
2017/12/7,RB1805,平多,NaN
,,,
2017/12/11,a1801,(换合约),NaN
2017/12/11,a1805,(换合约),NaN
,,,
2017/12/11,MA1801,(换合约),NaN
2017/12/11,MA1805,(换合约),NaN
,,,
2017/12/11,CF1805,平多,NaN
,,,
2017/12/14,IF1712,(换合约),NaN
2017/12/14,IF1801,(换合约),NaN
,,,
2017/12/14,CF1805,开空,15
2017/12/14,RB1805,开空,12
,,,
2017/12/18,CU1802,平空,NaN
,,,
2017/12/20,CU1802,开多,2
2017/12/20,M1805,开空,34
,,,
2017/12/25,AU1806,平空,NaN
,,,
2017/12/26,AU1806,开多,7
,,,
2017/12/27,SR1805,开空,27
,,,
2018/1/2,L1805,平空,NaN
2018/1/2,L1805,开多,11
2018/1/2,P1805,平空,NaN
2018/1/2,P1805,开多,13
2018/1/2,Y1805,平空,NaN
,,,
2018/1/4,TA1805,开多,43
2018/1/4,IF1801,平空,NaN
2018/1/4,IF1801,开多,0
2018/1/4,Y1805,开多,16
,,,
2018/1/8,zn1802,(换合约),NaN
2018/1/8,zn1803,(换合约),NaN
,,,
2018/1/8,cu1802,(换合约),NaN
2018/1/8,cu1803,(换合约),NaN
,,,
2018/1/9,CF1805,平空,NaN
2018/1/9,CF1805,开多,18
,,,
2018/1/10,AL1802,(换合约),NaN
