,X,Y
合约,343,66
买,256,106
卖,310,106
开仓,255,142
平仓,311,142
手数,263,180
价格,263,221
跟盘价,197,220
加价,328,216
减价,307,218
下单,284,261
确定,167,149
取消,274,149
持仓标签,567,54
持仓,675,137
保存,721,343
文件名,214,96
保存类型,214,129
